Year,Count
2024,578
2023,1218
2022,1343
2021,1310
2020,1080
2019,976
2018,952
2017,773
2016,793
2015,722
2014,681
2013,527
2012,476
2011,454
2010,425
2009,427
2008,436
2007,379
2006,366
2005,282
2004,233
2003,180
2002,166
2001,136
2000,83
1999,75
1998,82
1997,48
1996,40
1995,35
1994,22
1993,15
1992,14
1991,18
1990,13
1989,11
1988,8
1987,18
1986,1
1985,6
1984,4
1983,7
1982,4
1981,4
1980,1
1979,1
1978,1
1977,2
1976,3
1974,3
1973,1
1971,2
1970,3
1966,1
1963,1
1946,1
1929,1
