Year,Count
2024,444
2023,824
2022,833
2021,570
2020,362
2019,310
2018,218
2017,140
2016,126
2015,68
2014,54
2013,43
2012,23
2011,24
2010,13
2009,10
2008,2
2006,3
2005,3
2004,2
2000,1
1999,2
1997,2
1994,1
