"","yrs","total","category"
"60",1965-01-01,1,"sdoh"
"61",1961-01-01,1,"sdoh"
"62",2024-01-01,30,"riskEnv"
"63",2023-01-01,63,"riskEnv"
"64",2022-01-01,61,"riskEnv"
"65",2021-01-01,64,"riskEnv"
"66",2020-01-01,67,"riskEnv"
"67",2019-01-01,42,"riskEnv"
"68",2018-01-01,45,"riskEnv"
"69",2017-01-01,39,"riskEnv"
"70",2016-01-01,44,"riskEnv"
"71",2015-01-01,44,"riskEnv"
"72",2014-01-01,37,"riskEnv"
"73",2013-01-01,33,"riskEnv"
"74",2012-01-01,29,"riskEnv"
"75",2011-01-01,32,"riskEnv"
"76",2010-01-01,17,"riskEnv"
"77",2009-01-01,24,"riskEnv"
"78",2008-01-01,21,"riskEnv"
"79",2007-01-01,11,"riskEnv"
"80",2006-01-01,16,"riskEnv"
"81",2005-01-01,15,"riskEnv"
"82",2004-01-01,6,"riskEnv"
"83",2003-01-01,10,"riskEnv"
"84",2002-01-01,6,"riskEnv"
"85",2001-01-01,8,"riskEnv"
"86",2000-01-01,5,"riskEnv"
"87",1999-01-01,7,"riskEnv"
"88",1998-01-01,4,"riskEnv"
"89",1997-01-01,2,"riskEnv"
"90",1996-01-01,5,"riskEnv"
"91",1995-01-01,2,"riskEnv"
"92",1994-01-01,1,"riskEnv"
"93",1993-01-01,2,"riskEnv"
"94",1991-01-01,3,"riskEnv"
"95",1990-01-01,4,"riskEnv"
"96",1988-01-01,2,"riskEnv"
"97",1986-01-01,1,"riskEnv"
"98",1985-01-01,2,"riskEnv"
"99",1984-01-01,3,"riskEnv"
"100",1983-01-01,1,"riskEnv"
"101",1982-01-01,1,"riskEnv"
"102",2024-01-01,444,"intSct"
"103",2023-01-01,824,"intSct"
"104",2022-01-01,833,"intSct"
"105",2021-01-01,570,"intSct"
"106",2020-01-01,362,"intSct"
"107",2019-01-01,310,"intSct"
"108",2018-01-01,218,"intSct"
"109",2017-01-01,140,"intSct"
"110",2016-01-01,126,"intSct"
"111",2015-01-01,68,"intSct"
"112",2014-01-01,54,"intSct"
"113",2013-01-01,43,"intSct"
