Year,Count
2024,16
2023,28
2022,32
2021,55
2020,38
2019,30
2018,31
2017,23
2016,19
2015,14
2014,16
2013,7
2012,5
2011,8
2010,8
2009,2
2008,2
2007,5
2006,1
2005,7
2004,3
2003,3
2002,3
2001,2
2000,3
1999,1
1998,3
1960,1
