"","yrs","total","category"
"173",1973-01-01,3,"poleco"
"174",1971-01-01,2,"poleco"
"175",1969-01-01,1,"poleco"
"176",1968-01-01,1,"poleco"
"177",2024-01-01,163,"salut"
"178",2023-01-01,316,"salut"
"179",2022-01-01,433,"salut"
"180",2021-01-01,350,"salut"
"181",2020-01-01,326,"salut"
"182",2019-01-01,269,"salut"
"183",2018-01-01,259,"salut"
"184",2017-01-01,265,"salut"
"185",2016-01-01,303,"salut"
"186",2015-01-01,266,"salut"
"187",2014-01-01,258,"salut"
"188",2013-01-01,223,"salut"
"189",2012-01-01,217,"salut"
"190",2011-01-01,202,"salut"
"191",2010-01-01,138,"salut"
"192",2009-01-01,124,"salut"
"193",2008-01-01,112,"salut"
"194",2007-01-01,104,"salut"
"195",2006-01-01,98,"salut"
"196",2005-01-01,85,"salut"
"197",2004-01-01,68,"salut"
"198",2003-01-01,70,"salut"
"199",2002-01-01,52,"salut"
"200",2001-01-01,47,"salut"
"201",2000-01-01,43,"salut"
"202",1999-01-01,45,"salut"
"203",1998-01-01,35,"salut"
"204",1997-01-01,25,"salut"
"205",1996-01-01,33,"salut"
"206",1995-01-01,17,"salut"
"207",1994-01-01,19,"salut"
"208",1993-01-01,13,"salut"
"209",1992-01-01,13,"salut"
"210",1991-01-01,6,"salut"
"211",1990-01-01,11,"salut"
"212",1989-01-01,4,"salut"
"213",1988-01-01,3,"salut"
"214",1987-01-01,1,"salut"
"215",1986-01-01,1,"salut"
"216",1985-01-01,2,"salut"
"217",1984-01-01,2,"salut"
"218",1983-01-01,2,"salut"
"219",1980-01-01,1,"salut"
"220",1977-01-01,1,"salut"
"221",1975-01-01,2,"salut"
"222",2024-01-01,251,"eco"
"223",2023-01-01,502,"eco"
"224",2022-01-01,542,"eco"
"225",2021-01-01,459,"eco"
"226",2020-01-01,395,"eco"
"227",2019-01-01,322,"eco"
"228",2018-01-01,279,"eco"
"229",2017-01-01,258,"eco"
"230",2016-01-01,238,"eco"
"231",2015-01-01,184,"eco"
"232",2014-01-01,147,"eco"
"233",2013-01-01,118,"eco"
"234",2012-01-01,89,"eco"
"235",2011-01-01,71,"eco"
"236",2010-01-01,53,"eco"
"237",2009-01-01,48,"eco"
"238",2008-01-01,43,"eco"
"239",2007-01-01,30,"eco"
"240",2006-01-01,27,"eco"
"241",2005-01-01,22,"eco"
"242",2004-01-01,17,"eco"
"243",2003-01-01,10,"eco"
"244",2002-01-01,9,"eco"
"245",2001-01-01,10,"eco"
"246",2000-01-01,7,"eco"
"247",1999-01-01,5,"eco"
"248",1998-01-01,6,"eco"
"249",1997-01-01,5,"eco"
"250",1996-01-01,5,"eco"
"251",1995-01-01,4,"eco"
"252",1993-01-01,3,"eco"
"253",1992-01-01,6,"eco"
"254",1990-01-01,1,"eco"
"255",1989-01-01,2,"eco"
"256",1988-01-01,1,"eco"
"257",1987-01-01,1,"eco"
"258",1986-01-01,2,"eco"
"259",1985-01-01,2,"eco"
"260",1984-01-01,3,"eco"
"261",1983-01-01,1,"eco"
"262",1982-01-01,3,"eco"
"263",1981-01-01,1,"eco"
"264",1980-01-01,1,"eco"
"265",1979-01-01,2,"eco"
"266",1977-01-01,1,"eco"
"267",2024-01-01,4066,"geog"
"268",2023-01-01,7831,"geog"
"269",2022-01-01,8561,"geog"
"270",2021-01-01,8802,"geog"
"271",2020-01-01,8033,"geog"
"272",2019-01-01,7414,"geog"
"273",2018-01-01,6577,"geog"
"274",2017-01-01,6054,"geog"
"275",2016-01-01,6056,"geog"
"276",2015-01-01,5345,"geog"
"277",2014-01-01,5280,"geog"
"278",2013-01-01,4477,"geog"
"279",2012-01-01,4068,"geog"
"280",2011-01-01,3733,"geog"
"281",2010-01-01,3607,"geog"
"282",2009-01-01,3376,"geog"
"283",2008-01-01,3073,"geog"
"284",2007-01-01,2936,"geog"
"285",2006-01-01,2379,"geog"
"286",2005-01-01,1964,"geog"
"287",2004-01-01,1811,"geog"
"288",2003-01-01,1503,"geog"
"289",2002-01-01,1027,"geog"
"290",2001-01-01,882,"geog"
"291",2000-01-01,713,"geog"
"292",1999-01-01,527,"geog"
"293",1998-01-01,563,"geog"
"294",1997-01-01,505,"geog"
"295",1996-01-01,542,"geog"
"296",1995-01-01,498,"geog"
"297",1994-01-01,471,"geog"
"298",1993-01-01,456,"geog"
"299",1992-01-01,478,"geog"
"300",1991-01-01,430,"geog"
"301",1990-01-01,394,"geog"
"302",1989-01-01,465,"geog"
"303",1988-01-01,490,"geog"
"304",1987-01-01,401,"geog"
"305",1986-01-01,350,"geog"
"306",1985-01-01,406,"geog"
"307",1984-01-01,328,"geog"
"308",1983-01-01,365,"geog"
"309",1982-01-01,319,"geog"
"310",1981-01-01,271,"geog"
"311",1980-01-01,269,"geog"
"312",1979-01-01,221,"geog"
"313",1978-01-01,262,"geog"
