Year,Count
2024,87
2023,145
2022,156
2021,179
2020,160
2019,143
2018,109
2017,87
2016,107
2015,80
2014,70
2013,49
2012,45
2011,31
2010,42
2009,31
2008,30
2007,37
2006,23
2005,18
2004,23
2003,24
2002,12
2001,11
2000,20
1999,16
1998,11
1997,6
1996,15
1995,12
1994,16
1993,16
1992,20
1991,12
1990,10
1989,11
1988,6
1987,7
1986,26
1985,18
1984,13
1983,11
1982,3
1981,1
1980,2
1978,3
1977,3
1976,2
1975,1
1974,5
1973,3
1971,2
1969,1
1968,1
