Year,Count
2024,251
2023,502
2022,542
2021,459
2020,395
2019,322
2018,279
2017,258
2016,238
2015,184
2014,147
2013,118
2012,89
2011,71
2010,53
2009,48
2008,43
2007,30
2006,27
2005,22
2004,17
2003,10
2002,9
2001,10
2000,7
1999,5
1998,6
1997,5
1996,5
1995,4
1993,3
1992,6
1990,1
1989,2
1988,1
1987,1
1986,2
1985,2
1984,3
1983,1
1982,3
1981,1
1980,1
1979,2
1977,1
