Year,Count
2024,30
2023,63
2022,61
2021,64
2020,67
2019,42
2018,45
2017,39
2016,44
2015,44
2014,37
2013,33
2012,29
2011,32
2010,17
2009,24
2008,21
2007,11
2006,16
2005,15
2004,6
2003,10
2002,6
2001,8
2000,5
1999,7
1998,4
1997,2
1996,5
1995,2
1994,1
1993,2
1991,3
1990,4
1988,2
1986,1
1985,2
1984,3
1983,1
1982,1
