Year,Count
2024,163
2023,316
2022,433
2021,350
2020,326
2019,269
2018,259
2017,265
2016,303
2015,266
2014,258
2013,223
2012,217
2011,202
2010,138
2009,124
2008,112
2007,104
2006,98
2005,85
2004,68
2003,70
2002,52
2001,47
2000,43
1999,45
1998,35
1997,25
1996,33
1995,17
1994,19
1993,13
1992,13
1991,6
1990,11
1989,4
1988,3
1987,1
1986,1
1985,2
1984,2
1983,2
1980,1
1977,1
1975,2
