Year,Count
2024,21
2023,42
2022,34
2021,32
2020,26
2019,16
2018,18
2017,16
2016,12
2015,12
2014,18
2013,16
2012,12
2011,8
2010,13
2009,10
2008,8
2007,14
2006,6
2005,3
2004,5
2003,5
2002,4
2001,2
2000,3
1999,4
1997,1
1996,1
1995,1
1994,3
1992,2
1991,3
1990,3
1989,2
1986,1
1985,4
1983,1
1981,1
1980,2
1979,1
1946,1
